date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
7/10/2020,4,2,9,0,0,11388
25/10/2020,3,0,0,0,0,4947
28/9/2021,3,129,530,242,2,103136
23/4/2020,1,4,3,0,0,5507
19/3/2021,2,0,0,0,0,8710
6/10/2021,0,28,235,365,2,99124
12/8/2020,5,0,5,0,0,26453
4/12/2020,2,0,0,0,0,9299
17/5/2020,1,0,0,0,0,4415
10/4/2020,15,5,10,0,0,1466
7/11/2020,4,0,0,0,0,7970
7/4/2021,1,0,0,0,0,10619
9/9/2021,2,235,724,560,0,117485
26/9/2020,0,0,0,0,0,5971
26/5/2021,0,0,0,0,0,16515
24/12/2020,5,0,7,0,0,24398
22/12/2021,0,0,0,0,0,164348
8/8/2020,1,0,12,0,1,12386
22/7/2021,3,6,119,16,0,90623
23/2/2020,0,0,0,0,0,53
7/1/2021,3,1,1,0,0,21506
9/2/2020,0,0,0,0,0,37
16/12/2021,0,0,0,0,0,159583
25/6/2021,0,0,27,1,0,59471
9/7/2020,7,0,2,0,0,14880
30/6/2021,1,0,29,1,0,52329
18/7/2020,5,3,9,0,0,15043
9/7/2021,3,3,41,5,0,50135
7/12/2021,0,0,0,0,0,82240
31/1/2020,0,0,0,0,0,21
26/1/2020,0,0,0,0,0,8
16/1/2021,9,0,5,0,0,7688
16/6/2021,1,1,2,0,0,20367
2/6/2021,2,0,0,0,0,22121
15/7/2021,2,7,79,14,0,75092
1/3/2020,0,0,0,0,0,132
4/1/2020,0,0,0,0,0,3
1/8/2020,1,1,11,0,1,12755
17/12/2020,2,0,23,0,0,15240
23/2/2021,4,0,0,0,0,16002
26/11/2020,5,0,0,0,0,10240
25/5/2020,2,0,0,0,0,9738
5/9/2020,5,0,3,0,0,8825
30/10/2021,0,5,123,47,1,61442
16/4/2021,7,0,2,0,0,7729
17/9/2020,3,0,0,0,0,13801
31/8/2021,2,160,665,380,0,127049
