date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
25/9/2020,1,0,0,0,0,9936
6/11/2020,4,0,1,0,0,13617
8/9/2021,2,113,342,976,0,135386
11/4/2020,8,3,7,0,0,1467
8/4/2021,3,0,0,0,0,8140
22/10/2021,1,5,259,76,0,70355
3/3/2021,6,0,0,0,0,13379
28/8/2020,2,0,8,0,0,22411
18/11/2020,7,0,0,0,0,15593
2/6/2020,1,0,0,0,0,11660
21/7/2021,1,5,105,32,0,90527
20/2/2020,0,0,0,0,0,184
14/1/2020,0,0,0,0,0,1
27/5/2021,4,0,0,0,0,17563
27/12/2020,7,0,3,0,0,20406
7/8/2020,1,0,7,0,0,25104
26/4/2020,1,0,0,0,0,3816
22/3/2021,2,0,0,0,0,12953
22/10/2020,3,0,0,0,0,12765
12/10/2020,7,0,8,0,0,17972
25/9/2021,1,57,366,491,0,98637
23/8/2021,2,24,385,416,0,155988
26/3/2020,126,15,41,0,3,5902
24/4/2021,4,0,0,0,0,5026
7/7/2020,5,0,1,0,0,15344
25/1/2021,3,0,0,0,0,10324
3/10/2021,0,22,231,373,1,83659
20/5/2020,0,1,0,0,0,9256
1/12/2020,6,0,0,0,0,10935
17/8/2020,2,0,1,0,0,28670
14/3/2021,3,0,0,0,0,5480
22/4/2020,1,1,1,0,0,5329
8/10/2020,4,0,2,0,0,13386
26/3/2021,3,0,0,0,0,7909
29/9/2021,1,71,421,470,1,109811
26/10/2020,13,0,2,0,0,15266
18/10/2021,0,4,168,67,0,95025
27/2/2021,4,0,0,0,0,6334
14/11/2020,8,0,0,0,0,6739
6/6/2020,1,0,0,0,0,5048
1/9/2020,0,0,15,0,0,24931
13/8/2020,3,1,10,0,0,22237
18/3/2021,1,0,0,0,0,9613
16/5/2020,0,0,0,0,0,5275
5/12/2020,5,0,0,0,0,5301
7/10/2021,2,23,239,407,0,80583
19/6/2021,6,0,1,0,0,24874
28/6/2021,2,0,14,0,0,79833
1/1/2021,11,1,5,0,0,17017
15/2/2020,0,0,0,0,0,53
15/7/2020,3,1,4,0,1,26656
5/4/2020,34,8,19,0,2,1420
10/9/2021,2,110,419,921,0,123870
12/11/2020,2,0,0,0,0,15680
19/9/2020,0,0,1,0,0,6459
14/4/2021,11,0,1,0,0,9789
16/2/2020,0,0,0,0,0,39
31/5/2021,0,0,0,0,0,24191
31/12/2020,3,0,8,0,0,27158
3/8/2020,1,1,11,0,0,31253
10/1/2020,0,0,0,0,0,1
25/7/2021,7,4,117,48,0,86010
6/2/2021,0,0,0,0,0,6567
22/5/2021,0,0,0,0,0,5925
9/6/2020,3,0,0,0,0,16434
14/3/2020,12,2,5,0,1,2052
3/8/2021,1,6,158,71,0,101132
6/2/2020,0,0,0,0,0,72
28/1/2020,0,0,0,0,0,32
10/1/2021,8,2,2,0,0,11190
10/6/2021,2,0,0,0,0,18594
24/7/2020,7,0,11,0,0,22857
7/7/2021,1,3,28,5,0,38834
14/10/2021,1,8,186,214,0,66404
9/5/2020,1,0,0,0,0,5712
12/12/2020,3,0,0,0,0,4699
11/3/2021,6,0,0,0,0,9665
20/8/2020,0,1,4,0,0,28571
3/9/2020,1,0,6,0,0,19549
25/2/2021,4,0,0,0,0,13191
28/11/2020,4,0,0,0,0,4540
23/5/2020,1,0,0,0,0,4267
27/1/2020,0,0,0,0,0,13
7/2/2020,0,0,0,0,0,104
9/1/2021,5,0,2,0,0,17361
